complaint_id,date_received,product,sub_product,issue,sub_issue,consumer_complaint_narrative,company_public_response,company,state,zip_code,tags,consumer_consent_provided,submitted_via,date_sent_to_company,company_response_to_consumer,timely_response,consumer_disputed?
3000019,2025-05-09 19:10:40.896439,"Credit reporting, credit repair services, or other personal consumer reports",General,Incorrect information on your report,Information belongs to someone else,My credit report shows an account I never opened.,,TransUnion,MI,12345,,Consent provided,Web,2025-05-12 19:10:40.896439,Closed with explanation,Yes,nan
3000020,2025-06-13 19:10:40.896439,"Credit reporting, credit repair services, or other personal consumer reports",General,Incorrect information on your report,Information belongs to someone else,nan,,Bank of America,CA,12345,,Consent provided,Web,2025-06-17 19:10:40.896439,In progress,Yes,nan
3000021,2025-11-08 19:10:40.896439,Debt collection,General,Incorrect information on your report,Information belongs to someone else,nan,,Capital One,OH,12345,,Consent provided,Web,2025-11-15 19:10:40.896439,Closed with explanation,Yes,No
3000022,2025-08-22 19:10:40.896439,Credit card or prepaid card,General,Incorrect information on your report,Information belongs to someone else,nan,,TransUnion,MI,12345,,Consent provided,Web,2025-09-04 19:10:40.896439,Untimely response,Yes,nan
3000023,2025-07-25 19:10:40.896439,Mortgage,General,Incorrect information on your report,Information belongs to someone else,nan,,Experian,NY,12345,,Consent provided,Web,2025-08-04 19:10:40.896439,Closed with explanation,Yes,nan
3000024,2025-01-12 19:10:40.896439,Debt collection,General,Incorrect information on your report,Information belongs to someone else,nan,,TransUnion,IL,12345,,Consent provided,Web,2025-01-19 19:10:40.896439,Closed with explanation,Yes,No
3000025,2025-04-07 19:10:40.896439,Debt collection,General,Incorrect information on your report,Information belongs to someone else,The bank charged me a fee I did not authorize.,,Bank of America,CA,12345,,Consent provided,Web,2025-04-18 19:10:40.896439,Closed with non-monetary relief,Yes,nan
3000026,2024-12-12 19:10:40.896439,,General,Incorrect information on your report,Information belongs to someone else,nan,,Capital One,IL,12345,,Consent provided,Web,2024-12-25 19:10:40.896439,Closed with explanation,Yes,nan
3000027,2025-10-07 19:10:40.896439,"Credit reporting, credit repair services, or other personal consumer reports",General,Incorrect information on your report,Information belongs to someone else,My credit report shows an account I never opened.,,Experian,GA,12345,,Consent provided,Web,2025-10-18 19:10:40.896439,Closed with explanation,Yes,Yes
3000028,2025-05-14 19:10:40.896439,Debt collection,General,Incorrect information on your report,Information belongs to someone else,nan,,Capital One,PA,12345,,Consent provided,Web,2025-05-19 19:10:40.896439,Closed with explanation,No,nan
3000029,2024-07-26 19:10:40.896439,Credit card or prepaid card,General,Incorrect information on your report,Information belongs to someone else,nan,,JPMorgan Chase & Co.,TX,12345,,Consent provided,Web,2024-07-29 19:10:40.896439,Closed with non-monetary relief,Yes,No
3000030,2025-03-14 19:10:40.896439,Credit card or prepaid card,General,Incorrect information on your report,Information belongs to someone else,nan,,Bank of America,TX,12345,,Consent provided,Web,2025-03-28 19:10:40.896439,Closed with explanation,Yes,nan
3000031,2026-01-16 19:10:40.896439,Mortgage,General,Incorrect information on your report,Information belongs to someone else,nan,,JPMorgan Chase & Co.,NC,12345,,Consent provided,Web,2026-01-16 19:10:40.896439,In progress,Yes,nan
3000032,2025-10-22 19:10:40.896439,Mortgage,General,Incorrect information on your report,Information belongs to someone else,The bank charged me a fee I did not authorize.,,Capital One,CA,12345,,Consent provided,Web,2025-11-02 19:10:40.896439,Closed with explanation,Yes,nan
3000033,2024-09-01 19:10:40.896439,"Credit reporting, credit repair services, or other personal consumer reports",General,Incorrect information on your report,Information belongs to someone else,nan,,JPMorgan Chase & Co.,TX,12345,,Consent provided,Web,2024-09-07 19:10:40.896439,Closed with explanation,Yes,nan
3000034,2025-11-27 19:10:40.896439,"Credit reporting, credit repair services, or other personal consumer reports",General,Incorrect information on your report,Information belongs to someone else,My credit report shows an account I never opened.,,Experian,GA,12345,,Consent provided,Web,2025-12-04 19:10:40.896439,In progress,Yes,nan
3000035,2026-05-17 19:10:40.896439,Debt collection,General,Incorrect information on your report,Information belongs to someone else,My credit report shows an account I never opened.,,Wells Fargo,PA,12345,,Consent provided,Web,2026-05-25 19:10:40.896439,Closed with non-monetary relief,Yes,nan
3000036,2025-10-23 19:10:40.896439,Mortgage,General,Incorrect information on your report,Information belongs to someone else,My credit report shows an account I never opened.,,Bank of America,FL,12345,,Consent provided,Web,2025-10-24 19:10:40.896439,Closed with non-monetary relief,Yes,nan
3000037,2026-06-04 19:10:40.896439,"Credit reporting, credit repair services, or other personal consumer reports",General,Incorrect information on your report,Information belongs to someone else,nan,,Equifax,FL,12345,,Consent provided,Web,2026-06-04 19:10:40.896439,In progress,No,Yes
3000038,2025-01-10 19:10:40.896439,Vehicle loan or lease,General,Incorrect information on your report,Information belongs to someone else,nan,,Equifax,NC,12345,,Consent provided,Web,2025-01-13 19:10:40.896439,Closed with explanation,Yes,Yes
3000039,2026-05-22 19:10:40.896439,,General,Incorrect information on your report,Information belongs to someone else,nan,,Bank of America,TX,12345,,Consent provided,Web,2026-06-03 19:10:40.896439,Closed with non-monetary relief,No,No
3000040,2026-01-18 19:10:40.896439,Debt collection,General,Incorrect information on your report,Information belongs to someone else,nan,,Bank of America,MI,12345,,Consent provided,Web,2026-01-22 19:10:40.896439,Closed with explanation,Yes,nan
3000041,2026-01-22 19:10:40.896439,Mortgage,General,Incorrect information on your report,Information belongs to someone else,My credit report shows an account I never opened.,,Bank of America,IL,12345,,Consent provided,Web,2026-01-31 19:10:40.896439,Closed with explanation,Yes,No
3000042,2025-03-05 19:10:40.896439,"Credit reporting, credit repair services, or other personal consumer reports",General,Incorrect information on your report,Information belongs to someone else,nan,,Bank of America,OH,12345,,Consent provided,Web,2025-03-16 19:10:40.896439,Closed with explanation,Yes,No
3000043,2025-11-21 19:10:40.896439,Debt collection,General,Incorrect information on your report,Information belongs to someone else,The bank charged me a fee I did not authorize.,,Capital One,PA,12345,,Consent provided,Web,2025-11-21 19:10:40.896439,In progress,Yes,Yes
3000044,2024-11-12 19:10:40.896439,,General,Incorrect information on your report,Information belongs to someone else,My credit report shows an account I never opened.,,Wells Fargo,CA,12345,,Consent provided,Web,2024-11-16 19:10:40.896439,Closed with non-monetary relief,No,No
3000045,2025-11-01 19:10:40.896439,"Credit reporting, credit repair services, or other personal consumer reports",General,Incorrect information on your report,Information belongs to someone else,My credit report shows an account I never opened.,,JPMorgan Chase & Co.,MI,12345,,Consent provided,Web,2025-11-06 19:10:40.896439,Closed with explanation,No,nan
3000046,2026-04-12 19:10:40.896439,Checking or savings account,General,Incorrect information on your report,Information belongs to someone else,nan,,Capital One,FL,12345,,Consent provided,Web,2026-04-14 19:10:40.896439,Closed with explanation,Yes,Yes
3000047,2024-07-25 19:10:40.896439,Checking or savings account,General,Incorrect information on your report,Information belongs to someone else,nan,,Bank of America,IL,12345,,Consent provided,Web,2024-08-05 19:10:40.896439,Closed with explanation,Yes,No
3000048,2024-12-18 19:10:40.896439,"Credit reporting, credit repair services, or other personal consumer reports",General,Incorrect information on your report,Information belongs to someone else,nan,,Experian,FL,12345,,Consent provided,Web,2025-01-01 19:10:40.896439,Closed with explanation,Yes,Yes
3000049,2025-04-04 19:10:40.896439,Debt collection,General,Incorrect information on your report,Information belongs to someone else,The bank charged me a fee I did not authorize.,,Capital One,FL,12345,,Consent provided,Web,2025-04-10 19:10:40.896439,Closed with explanation,Yes,No
3000050,2025-07-27 19:10:40.896439,"Credit reporting, credit repair services, or other personal consumer reports",General,Incorrect information on your report,Information belongs to someone else,nan,,Bank of America,IL,12345,,Consent provided,Web,2025-08-09 19:10:40.896439,Closed with explanation,Yes,nan
3000051,2026-02-25 19:10:40.896439,Checking or savings account,General,Incorrect information on your report,Information belongs to someone else,nan,,JPMorgan Chase & Co.,GA,12345,,Consent provided,Web,2026-03-02 19:10:40.896439,Closed with monetary relief,Yes,Yes
3000052,2025-05-16 19:10:40.896439,Debt collection,General,Incorrect information on your report,Information belongs to someone else,nan,,JPMorgan Chase & Co.,MI,12345,,Consent provided,Web,2025-05-19 19:10:40.896439,In progress,Yes,Yes
3000053,2024-07-18 19:10:40.896439,Debt collection,General,Incorrect information on your report,Information belongs to someone else,nan,,JPMorgan Chase & Co.,GA,12345,,Consent provided,Web,2024-07-20 19:10:40.896439,Closed with explanation,Yes,Yes
3000054,2025-03-03 19:10:40.896439,Debt collection,General,Incorrect information on your report,Information belongs to someone else,nan,,Capital One,GA,12345,,Consent provided,Web,2025-03-07 19:10:40.896439,In progress,Yes,nan
3000055,2025-06-15 19:10:40.896439,Debt collection,General,Incorrect information on your report,Information belongs to someone else,nan,,Experian,PA,12345,,Consent provided,Web,2025-06-17 19:10:40.896439,Closed with explanation,Yes,Yes
3000056,2026-01-20 19:10:40.896439,Mortgage,General,Incorrect information on your report,Information belongs to someone else,My credit report shows an account I never opened.,,Citibank,NC,12345,,Consent provided,Web,2026-01-29 19:10:40.896439,Closed with explanation,Yes,No
3000057,2025-06-09 19:10:40.896439,Mortgage,General,Incorrect information on your report,Information belongs to someone else,nan,,Equifax,IL,12345,,Consent provided,Web,2025-06-17 19:10:40.896439,Closed with explanation,Yes,nan
3000058,2024-10-04 19:10:40.896439,Credit card or prepaid card,General,Incorrect information on your report,Information belongs to someone else,The bank charged me a fee I did not authorize.,,Capital One,MI,12345,,Consent provided,Web,2024-10-12 19:10:40.896439,Closed with explanation,Yes,Yes
3000059,2025-07-06 19:10:40.896439,Mortgage,General,Incorrect information on your report,Information belongs to someone else,nan,,Experian,OH,12345,,Consent provided,Web,2025-07-11 19:10:40.896439,Untimely response,Yes,nan
3000060,2025-10-02 19:10:40.896439,Credit card or prepaid card,General,Incorrect information on your report,Information belongs to someone else,nan,,Bank of America,CA,12345,,Consent provided,Web,2025-10-14 19:10:40.896439,Closed with explanation,No,Yes
3000061,2025-09-05 19:10:40.896439,"Credit reporting, credit repair services, or other personal consumer reports",General,Incorrect information on your report,Information belongs to someone else,The bank charged me a fee I did not authorize.,,Wells Fargo,NY,12345,,Consent provided,Web,2025-09-15 19:10:40.896439,Closed with monetary relief,Yes,Yes
3000062,2025-11-25 19:10:40.896439,"Credit reporting, credit repair services, or other personal consumer reports",General,Incorrect information on your report,Information belongs to someone else,nan,,Wells Fargo,CA,12345,,Consent provided,Web,2025-11-30 19:10:40.896439,Closed with monetary relief,Yes,nan
3000063,2024-08-08 19:10:40.896439,Debt collection,General,Incorrect information on your report,Information belongs to someone else,The bank charged me a fee I did not authorize.,,TransUnion,MI,12345,,Consent provided,Web,2024-08-19 19:10:40.896439,Closed with explanation,Yes,No
3000064,2025-01-26 19:10:40.896439,Mortgage,General,Incorrect information on your report,Information belongs to someone else,The bank charged me a fee I did not authorize.,,JPMorgan Chase & Co.,TX,12345,,Consent provided,Web,2025-02-08 19:10:40.896439,Closed with explanation,Yes,Yes
3000065,2024-09-23 19:10:40.896439,Vehicle loan or lease,General,Incorrect information on your report,Information belongs to someone else,nan,,Wells Fargo,PA,12345,,Consent provided,Web,2024-09-26 19:10:40.896439,Closed with explanation,Yes,nan
3000066,2026-01-17 19:10:40.896439,"Credit reporting, credit repair services, or other personal consumer reports",General,Incorrect information on your report,Information belongs to someone else,nan,,Equifax,CA,12345,,Consent provided,Web,2026-01-20 19:10:40.896439,Closed with explanation,Yes,No
3000067,2025-07-27 19:10:40.896439,Debt collection,General,Incorrect information on your report,Information belongs to someone else,nan,,Capital One,NC,12345,,Consent provided,Web,2025-07-28 19:10:40.896439,Untimely response,No,nan
3000068,2024-07-06 19:10:40.896439,"Credit reporting, credit repair services, or other personal consumer reports",General,Incorrect information on your report,Information belongs to someone else,The bank charged me a fee I did not authorize.,,Bank of America,PA,12345,,Consent provided,Web,2024-07-15 19:10:40.896439,Closed with explanation,Yes,No
3000069,2025-07-29 19:10:40.896439,Checking or savings account,General,Incorrect information on your report,Information belongs to someone else,nan,,Capital One,GA,12345,,Consent provided,Web,2025-08-01 19:10:40.896439,Untimely response,Yes,nan
3000070,2026-01-21 19:10:40.896439,Checking or savings account,General,Incorrect information on your report,Information belongs to someone else,The bank charged me a fee I did not authorize.,,TransUnion,MI,12345,,Consent provided,Web,2026-01-28 19:10:40.896439,Closed with explanation,Yes,No
3000071,2024-10-18 19:10:40.896439,"Credit reporting, credit repair services, or other personal consumer reports",General,Incorrect information on your report,Information belongs to someone else,nan,,Wells Fargo,MI,12345,,Consent provided,Web,2024-10-30 19:10:40.896439,Closed with explanation,Yes,Yes
3000072,2025-10-24 19:10:40.896439,Mortgage,General,Incorrect information on your report,Information belongs to someone else,nan,,Equifax,GA,12345,,Consent provided,Web,2025-11-02 19:10:40.896439,Closed with explanation,Yes,nan
3000073,2026-06-07 19:10:40.896439,Mortgage,General,Incorrect information on your report,Information belongs to someone else,nan,,Equifax,TX,12345,,Consent provided,Web,2026-06-08 19:10:40.896439,Closed with non-monetary relief,Yes,No
3000074,2025-08-10 19:10:40.896439,"Credit reporting, credit repair services, or other personal consumer reports",General,Incorrect information on your report,Information belongs to someone else,nan,,Citibank,TX,12345,,Consent provided,Web,2025-08-18 19:10:40.896439,Closed with explanation,Yes,nan
3000075,2026-07-04 19:10:40.896439,Debt collection,General,Incorrect information on your report,Information belongs to someone else,The bank charged me a fee I did not authorize.,,Citibank,FL,12345,,Consent provided,Web,2026-07-17 19:10:40.896439,Closed with explanation,Yes,No
3000076,2026-01-11 19:10:40.896439,Credit card or prepaid card,General,Incorrect information on your report,Information belongs to someone else,nan,,Wells Fargo,GA,12345,,Consent provided,Web,2026-01-11 19:10:40.896439,Closed with explanation,Yes,No
3000077,2024-12-13 19:10:40.896439,"Credit reporting, credit repair services, or other personal consumer reports",General,Incorrect information on your report,Information belongs to someone else,nan,,Equifax,GA,12345,,Consent provided,Web,2024-12-25 19:10:40.896439,Closed with explanation,Yes,No
3000078,2025-01-22 19:10:40.896439,Debt collection,General,Incorrect information on your report,Information belongs to someone else,nan,,JPMorgan Chase & Co.,IL,12345,,Consent provided,Web,2025-01-23 19:10:40.896439,Closed with explanation,Yes,nan
3000079,2025-03-31 19:10:40.896439,"Credit reporting, credit repair services, or other personal consumer reports",General,Incorrect information on your report,Information belongs to someone else,nan,,Citibank,TX,12345,,Consent provided,Web,2025-04-14 19:10:40.896439,In progress,Yes,No
3000080,2025-04-01 19:10:40.896439,Credit card or prepaid card,General,Incorrect information on your report,Information belongs to someone else,nan,,Equifax,NY,12345,,Consent provided,Web,2025-04-02 19:10:40.896439,Closed with explanation,Yes,No
3000081,2025-10-03 19:10:40.896439,Checking or savings account,General,Incorrect information on your report,Information belongs to someone else,nan,,Citibank,NY,12345,,Consent provided,Web,2025-10-13 19:10:40.896439,Closed with non-monetary relief,Yes,Yes
3000082,2025-10-09 19:10:40.896439,Credit card or prepaid card,General,Incorrect information on your report,Information belongs to someone else,nan,,Bank of America,OH,12345,,Consent provided,Web,2025-10-21 19:10:40.896439,Closed with monetary relief,Yes,No
3000083,2026-07-01 19:10:40.896439,"Credit reporting, credit repair services, or other personal consumer reports",General,Incorrect information on your report,Information belongs to someone else,nan,,TransUnion,NY,12345,,Consent provided,Web,2026-07-15 19:10:40.896439,Closed with explanation,No,No
3000084,2025-03-13 19:10:40.896439,"Credit reporting, credit repair services, or other personal consumer reports",General,Incorrect information on your report,Information belongs to someone else,The bank charged me a fee I did not authorize.,,Equifax,MI,12345,,Consent provided,Web,2025-03-26 19:10:40.896439,Closed with explanation,No,No
3000085,2026-06-06 19:10:40.896439,Credit card or prepaid card,General,Incorrect information on your report,Information belongs to someone else,nan,,Equifax,PA,12345,,Consent provided,Web,2026-06-11 19:10:40.896439,In progress,Yes,Yes
3000086,2025-04-26 19:10:40.896439,Debt collection,General,Incorrect information on your report,Information belongs to someone else,nan,,Experian,TX,12345,,Consent provided,Web,2025-05-10 19:10:40.896439,Closed with explanation,Yes,No
3000087,2026-06-29 19:10:40.896439,Credit card or prepaid card,General,Incorrect information on your report,Information belongs to someone else,nan,,Bank of America,TX,12345,,Consent provided,Web,2026-07-12 19:10:40.896439,Closed with explanation,Yes,No
3000088,2026-06-24 19:10:40.896439,"Credit reporting, credit repair services, or other personal consumer reports",General,Incorrect information on your report,Information belongs to someone else,My credit report shows an account I never opened.,,Experian,IL,12345,,Consent provided,Web,2026-06-30 19:10:40.896439,Closed with explanation,Yes,nan
3000089,2025-06-07 19:10:40.896439,Checking or savings account,General,Incorrect information on your report,Information belongs to someone else,nan,,Citibank,CA,12345,,Consent provided,Web,2025-06-19 19:10:40.896439,Closed with explanation,Yes,No
3000090,2024-08-26 19:10:40.896439,Student loan,General,Incorrect information on your report,Information belongs to someone else,My credit report shows an account I never opened.,,Capital One,TX,12345,,Consent provided,Web,2024-09-09 19:10:40.896439,Closed with explanation,Yes,No
3000091,2025-02-06 19:10:40.896439,Student loan,General,Incorrect information on your report,Information belongs to someone else,nan,,Bank of America,FL,12345,,Consent provided,Web,2025-02-20 19:10:40.896439,Closed with explanation,Yes,No
3000092,2025-01-08 19:10:40.896439,Debt collection,General,Incorrect information on your report,Information belongs to someone else,nan,,TransUnion,NC,12345,,Consent provided,Web,2025-01-10 19:10:40.896439,Closed with explanation,Yes,Yes
3000093,2025-07-19 19:10:40.896439,Mortgage,General,Incorrect information on your report,Information belongs to someone else,nan,,Wells Fargo,NC,12345,,Consent provided,Web,2025-07-29 19:10:40.896439,Closed with explanation,Yes,No
3000094,2025-11-09 19:10:40.896439,"Credit reporting, credit repair services, or other personal consumer reports",General,Incorrect information on your report,Information belongs to someone else,The bank charged me a fee I did not authorize.,,JPMorgan Chase & Co.,OH,12345,,Consent provided,Web,2025-11-17 19:10:40.896439,Closed with explanation,Yes,Yes
3000095,2024-08-14 19:10:40.896439,,General,Incorrect information on your report,Information belongs to someone else,nan,,Citibank,IL,12345,,Consent provided,Web,2024-08-18 19:10:40.896439,Closed with explanation,Yes,No
3000096,2024-12-08 19:10:40.896439,"Credit reporting, credit repair services, or other personal consumer reports",General,Incorrect information on your report,Information belongs to someone else,nan,,TransUnion,TX,12345,,Consent provided,Web,2024-12-12 19:10:40.896439,In progress,Yes,No
3000097,2024-07-19 19:10:40.896439,Checking or savings account,General,Incorrect information on your report,Information belongs to someone else,nan,,Equifax,TX,12345,,Consent provided,Web,2024-07-29 19:10:40.896439,Closed with explanation,Yes,Yes
3000098,2024-09-07 19:10:40.896439,Debt collection,General,Incorrect information on your report,Information belongs to someone else,nan,,Wells Fargo,GA,12345,,Consent provided,Web,2024-09-18 19:10:40.896439,Closed with explanation,Yes,nan
3000099,2025-12-07 19:10:40.896439,Student loan,General,Incorrect information on your report,Information belongs to someone else,nan,,Citibank,FL,12345,,Consent provided,Web,2025-12-10 19:10:40.896439,,Yes,No
3000100,2025-06-13 19:10:40.896439,Mortgage,General,Incorrect information on your report,Information belongs to someone else,nan,,TransUnion,OH,12345,,Consent provided,Web,2025-06-21 19:10:40.896439,Closed with explanation,Yes,No
3000101,2024-11-10 19:10:40.896439,Debt collection,General,Incorrect information on your report,Information belongs to someone else,nan,,TransUnion,PA,12345,,Consent provided,Web,2024-11-17 19:10:40.896439,Closed with non-monetary relief,Yes,No
3000102,2026-04-13 19:10:40.896439,Vehicle loan or lease,General,Incorrect information on your report,Information belongs to someone else,The bank charged me a fee I did not authorize.,,Capital One,PA,12345,,Consent provided,Web,2026-04-24 19:10:40.896439,Closed with monetary relief,Yes,No
3000103,2025-10-19 19:10:40.896439,"Credit reporting, credit repair services, or other personal consumer reports",General,Incorrect information on your report,Information belongs to someone else,nan,,JPMorgan Chase & Co.,FL,12345,,Consent provided,Web,2025-10-22 19:10:40.896439,Closed with explanation,No,nan
3000104,2024-09-05 19:10:40.896439,Vehicle loan or lease,General,Incorrect information on your report,Information belongs to someone else,nan,,Equifax,PA,12345,,Consent provided,Web,2024-09-08 19:10:40.896439,In progress,No,No
3000105,2024-11-20 19:10:40.896439,,General,Incorrect information on your report,Information belongs to someone else,nan,,Bank of America,NY,12345,,Consent provided,Web,2024-11-21 19:10:40.896439,Closed with explanation,Yes,No
3000106,2025-11-15 19:10:40.896439,Vehicle loan or lease,General,Incorrect information on your report,Information belongs to someone else,My credit report shows an account I never opened.,,JPMorgan Chase & Co.,CA,12345,,Consent provided,Web,2025-11-23 19:10:40.896439,Closed with non-monetary relief,Yes,No
3000107,2026-02-17 19:10:40.896439,"Credit reporting, credit repair services, or other personal consumer reports",General,Incorrect information on your report,Information belongs to someone else,The bank charged me a fee I did not authorize.,,Experian,GA,12345,,Consent provided,Web,2026-02-19 19:10:40.896439,Closed with explanation,Yes,No
3000108,2025-07-31 19:10:40.896439,"Credit reporting, credit repair services, or other personal consumer reports",General,Incorrect information on your report,Information belongs to someone else,The bank charged me a fee I did not authorize.,,Citibank,NC,12345,,Consent provided,Web,2025-08-03 19:10:40.896439,Closed with explanation,Yes,nan
3000109,2026-05-10 19:10:40.896439,Mortgage,General,Incorrect information on your report,Information belongs to someone else,nan,,Equifax,FL,12345,,Consent provided,Web,2026-05-23 19:10:40.896439,Untimely response,Yes,nan
3000110,2025-08-27 19:10:40.896439,Vehicle loan or lease,General,Incorrect information on your report,Information belongs to someone else,nan,,Citibank,CA,12345,,Consent provided,Web,2025-09-02 19:10:40.896439,Closed with monetary relief,Yes,nan
3000111,2025-04-19 19:10:40.896439,"Credit reporting, credit repair services, or other personal consumer reports",General,Incorrect information on your report,Information belongs to someone else,nan,,JPMorgan Chase & Co.,CA,12345,,Consent provided,Web,2025-04-28 19:10:40.896439,Closed with explanation,Yes,Yes
3000112,2025-07-18 19:10:40.896439,"Credit reporting, credit repair services, or other personal consumer reports",General,Incorrect information on your report,Information belongs to someone else,The bank charged me a fee I did not authorize.,,TransUnion,CA,12345,,Consent provided,Web,2025-07-25 19:10:40.896439,Closed with explanation,Yes,nan
3000113,2025-11-06 19:10:40.896439,"Credit reporting, credit repair services, or other personal consumer reports",General,Incorrect information on your report,Information belongs to someone else,nan,,Equifax,NC,12345,,Consent provided,Web,2025-11-13 19:10:40.896439,Closed with monetary relief,Yes,No
3000114,2025-02-20 19:10:40.896439,Student loan,General,Incorrect information on your report,Information belongs to someone else,nan,,TransUnion,MI,12345,,Consent provided,Web,2025-02-23 19:10:40.896439,Closed with explanation,Yes,Yes
3000115,2024-08-14 19:10:40.896439,Checking or savings account,General,Incorrect information on your report,Information belongs to someone else,nan,,JPMorgan Chase & Co.,IL,12345,,Consent provided,Web,2024-08-28 19:10:40.896439,In progress,Yes,nan
3000116,2024-08-01 19:10:40.896439,Debt collection,General,Incorrect information on your report,Information belongs to someone else,nan,,Citibank,FL,12345,,Consent provided,Web,2024-08-07 19:10:40.896439,In progress,No,No
3000117,2024-11-16 19:10:40.896439,"Credit reporting, credit repair services, or other personal consumer reports",General,Incorrect information on your report,Information belongs to someone else,My credit report shows an account I never opened.,,Experian,MI,12345,,Consent provided,Web,2024-11-25 19:10:40.896439,Closed with explanation,Yes,No
3000118,2025-01-21 19:10:40.896439,Credit card or prepaid card,General,Incorrect information on your report,Information belongs to someone else,The bank charged me a fee I did not authorize.,,Equifax,NC,12345,,Consent provided,Web,2025-01-21 19:10:40.896439,Closed with non-monetary relief,Yes,nan
